slug,race_type,title_nl,description_nl,description_en,date,end_date,start_time,distances,price_eur,price_info,homepage,registration_url,image_url,edition,tags,organizer_name,location_label,country,province,city,postal_code,street,house_nr,lat,lng,status
brita-urban-trail-brussel-2026,weg,BRITA Urban Trail Brussels 2026,"Een uniek loopevenement door de Brusselse binnenstad, met parcoursen van ongeveer 7 km of 12 km langs en door belangrijke Brusselse gebouwen. De BRITA Urban Trail Brussels is geen klassieke wedstrijd maar een ontdekkingstocht op loopschoenen; er is geen tijdsregistratie.",,2026-06-28,,,7=7 km@2026-06-28T09:00;12=12 km@2026-06-28T09:00,,"Online voorinschrijving: €26 voor deelnemers 1 t.e.m. 1.000; daarna €29. Eerste tarief is uitverkocht. Online inschrijven t.e.m. 27 juni 2026 23:59 volgens de eventsite, of zolang de voorraad strekt; Chronorace vermeldt elektronische inschrijving t.e.m. 28 juni 2026 17:00.",https://brusselsurbantrail.be/,https://prod.chronorace.be/registration/SelectActivity.aspx?eventId=2156361345726029&lng=NL,https://brusselsurbantrail.be/wp-content/uploads/sites/102/2026/03/G2025_1556_BritaUrbanTrail_Brussels_cmyk_White_Pos.png,,stad,Golazo,Beursplein,BE,brussel,Brussel,,Beursplein,,,,live
primagaz-classic-tessenderlo-2026,weg,The Primagaz Classic Tessenderlo 2026,"The Primagaz Classic viert in 2026 zijn 40ste verjaardag. De loopklassieker vindt plaats op maandagavond 6 juli in Tessenderlo-Ham, met een Kids Run, 4 km jogging en 10 km classic.",,2026-07-06,,,1=Kids Run@2026-07-06T19:00;4=Jogging 4K@2026-07-06T19:30;10=Classic 10K@2026-07-06T20:00,,"Online voorinschrijving t.e.m. 6 juli 2026 16:59/17:00. Regular: Persil Kids Run 1K €6, Primagaz Jogging 4K €17, The Primagaz Classic 10K €21. Early bird: 4K €14 en 10K €17 voor de eerste 300 inschrijvingen; Kids Run blijft €6.",https://theprimagazclassic.be/,https://prod.chronorace.be/registration/SelectActivity.aspx?eventId=2156361345726052&iframe=1&lng=NL,https://theprimagazclassic.be/wp-content/uploads/sites/220/2023/04/The-Primagaz-Classic-2026-logo-wit-scaled-e1771407969379-1280x600.png,40,,Golazo,Gemeentelijk Sportpark Tessenderlo,BE,limburg,Tessenderlo-Ham,,,,,,live
energyvision-jogging-namen-2026,weg,EnergyVision Jogging Ville de Namur 2026,"Een loopevenement in Namen als onderdeel van de EnergyVision Running Tour. In 2026 introduceert het event een nieuwe 10 mijl-afstand; daarnaast blijven 10 km, 6 km en de Persil Kids Run op het programma.",,2026-09-13,,,1=Kids Run;6=Jogging 6K;10=Jogging 10K;16.1=10 Mijl,,,https://joggingvilledenamur.be/,https://joggingvilledenamur.be/nl/inschrijven/,https://joggingvilledenamur.be/wp-content/uploads/sites/117/2026/06/LOGO_NAMUR_1.png,,,Golazo,Rempart de la Vierge,BE,namen,Namur,5000,Rempart de la Vierge,,,,live
maes-gent-10-mijl-2026,weg,MAES Gent 10 Mijl 2026,"Een Gents loopfestival door de binnenstad, met start en finish aan Sport Vlaanderen Gent. Deelnemers kiezen tussen 5 mijl, 10 mijl of de Persil Kids Run; na de finish is er een festivalzone met live muziek, eten en drinken.",,2026-09-20,,,1=Kids Run@2026-09-20T09:30;8=5 Mijl@2026-09-20T10:00;16.1=10 Mijl@2026-09-20T10:45,,"Regular: Persil Kids Run €5, 5 Mijl €28, 10 Mijl €36. Early bird voor de eerste 500 inschrijvingen: 5 Mijl €25 en 10 Mijl €31. 80% korting mogelijk met UitPAS kansentarief.",https://maesgent10mijl.be/,https://prod.chronorace.be/registration/SelectActivity.aspx?eventId=2156361345726560&iframe=0&lng=NL,https://maesgent10mijl.be/wp-content/uploads/sites/232/2026/03/Logo-MAES-Gent-10-Mijl-2026-e1773648983323.png,5,stad,Golazo,Sport Vlaanderen Gent,BE,oost-vlaanderen,Gent,9000,Zuiderlaan,14,,,live
energyvision-semi-marathon-nijvel-2026,weg,EnergyVision Semi Marathon de Nivelles 2026,"Het grootste loopevenement van Waals-Brabant, met start en finish op de Grote Markt van Nijvel. De dertiende editie staat open voor zowel kinderen, recreanten als ervaren lopers.",,2026-09-20,,,1=Kids Run;5=5 km;10=10 km;21.1=Halve marathon,,Early bird < 1000 deelnemers / daarna: Semi-marathon €28 / €33; 10 km €18 / €21; 5 km €10 / €13; Persil Kids Run €3 / €5. Daginschrijving mogelijk vanaf 8u00.,https://semidenivelles.be/,https://semidenivelles.be/nl/inschrijven/,,13,stad,Golazo,Grote Markt van Nijvel,BE,waals-brabant,Nijvel,,Grand Place,,,,live
dwars-door-mechelen-2026,weg,EnergyVision Dwars door Mechelen 2026,"Stadsloop door Mechelen met afstanden voor kinderen, recreanten en langeafstandslopers. De Kids Run start aan de Veemarkt en finisht op de Grote Markt; voor de overige afstanden is de volledige startprocedure nog niet gepubliceerd.",,2026-09-27,,,1=Kids Run@2026-09-27T09:15;6=6 km;10=10 km;21.1=Halve marathon,,Online voorinschrijving t.e.m. 26 september 2026 23:59. Tarieven volgens huidige tranche: Halve marathon €36; 10 km €23; 6 km €19; Persil Kids Run €6. Early bird en middentranches waren respectievelijk goedkoper.,https://dwarsdoormechelen.be/,https://prod.chronorace.be/registration/SelectActivity.aspx?eventId=2156361345726601&iframe=1&lng=NL&v=3,,,stad,Golazo,Veemarkt / Grote Markt,BE,antwerpen,Mechelen,2800,,,,,live
athora-bruges-marathon-2026,weg,Athora Bruges Marathon 2026,,"A marathon event through Bruges with a marathon, half marathon and an 8 km Family Walk. The start is at 't Zand and the finish is on the Grote Markt.",2026-10-11,,,42.195=Marathon@2026-10-11T10:00;21.1=Halve marathon@2026-10-11T10:00;8=Family Walk@2026-10-11T10:45,,Current final tranche: Marathon €110; Half Marathon €60; Family Walk €31. Prices include €0.50 city tax; VAT change from 6% to 12% from 1 March 2026 may affect fees.,https://athorabrugesmarathon.com/,https://prod.chronorace.be/registration/SelectActivity.aspx?eventId=2156361345579978&iframe=0&lng=NL,,,stad,Golazo,’t Zand / Grote Markt,BE,west-vlaanderen,Brugge,,,,,,live
dwars-door-hasselt-2026,weg,EnergyVision Dwars door Hasselt 2026,"Stadsloop in Hasselt met start en aankomst op het Kolonel Dusartplein. Het programma omvat 21 km, 15 km, 10,5 km, 5 km, 3 km en de Persil Kids Run.",,2026-10-11,,,21.0975=21 km@2026-10-11T09:00;15=15 km@2026-10-11T11:45;3=3 km@2026-10-11T12:00;10.5=10 km@2026-10-11T13:30;5=5 km@2026-10-11T14:45;1=Kids Run@2026-10-11T15:45,,Online voorinschrijving t.e.m. 11 oktober 2026. Huidige/finale tranche: 21 km €36; 15 km €24; 10 km €21; 5 km €17; 3 km €14; Persil Kids Run €5. Ter plaatse op 11 oktober vanaf 08:00 aan dezelfde tarieven.,https://dwarsdoorhasselt.be/,https://dwarsdoorhasselt.be/nl/inschrijven/,,,stad,Golazo,Kolonel Dusartplein,BE,limburg,Hasselt,,Kolonel Dusartplein,,,,live
brussels-ekiden-2026,weg,Brussels Ekiden 2026,"Een aflossingsmarathon voor teams van zes lopers in en rond het Koning Boudewijnstadion en het Park van Laken. De totale afstand is 42,195 km.",,2026-10-17,,,1=Kids Run@2026-10-17T12:00;42.195=Ekiden team@2026-10-17T13:00;5=Loper 1;10=Loper 2;5=Loper 3;10=Loper 4;5=Loper 5;7.195=Loper 6,,Online registratie mogelijk tot 6 oktober 2026 23:59. Concrete tarieven niet betrouwbaar zichtbaar in de geraadpleegde officiële pagina's.,https://brusselsekiden.be/,https://brusselsekiden.be/en/register/,,,estafette,Golazo,Koning Boudewijnstadion,BE,brussel,Brussel,1020,Avenue de Marathon,135,,,live
trek-antwerp-marathon-2026,weg,TREK Antwerp Marathon 2026,"Een groot loopevenement door Antwerpen met marathon, halve marathon en 10K. De organisatie bouwt voort op het stadsgerichte parcoursconcept; de exacte parcoursdetails worden later bekendgemaakt.",,2026-10-18,,,42.195=Marathon;21.1=Halve marathon;10=10K,,"Online inschrijven t.e.m. zaterdag 17 oktober 2026, zolang er plaatsen beschikbaar zijn. Huidige/finale tranche: Marathon €130; Half Marathon €69; 10K €36. Marathonprijs inclusief Craft Running Eventshirt t.w.v. €29,95.",https://antwerpmarathon.com/,https://prod.chronorace.be/registration/SelectActivity.aspx?eventId=2158345620633648&hash=91mvyC0DZGHMVN2zvIm1ciokVMc&iframe=1&lng=NL,,6,stad,Golazo,Eilandje,BE,antwerpen,Antwerpen,,,,,,live
